rolname,query,calls,total_time,min_time,max_time,mean_time,avg_rows
postgres,"SELECT 
        a.asset_id,
        a.ticker,
        a.company_name,
        COUNT(t.transaction_id) as trade_count,
        COALESCE(SUM((t.amount_range_low + t.amount_range_high) / $1), $2) as total_volume
      FROM ""Assets"" a
      LEFT JOIN ""Transactions"" t ON a.asset_id = t.asset_id
      WHERE a.ticker IS NOT NULL
      GROUP BY a.asset_id, a.ticker, a.company_name
      HAVING COUNT(t.transaction_id) > $3
      ORDER BY trade_count DESC
      LIMIT $4",20,521.819305,22.00574,32.581525,26.09096525,5
postgres,"SELECT ""public"".""Transactions"".""transaction_id"", ""public"".""Transactions"".""filing_id"", ""public"".""Transactions"".""asset_id"", ""public"".""Transactions"".""owner_code"", ""public"".""Transactions"".""transaction_type"", ""public"".""Transactions"".""transaction_date"", ""public"".""Transactions"".""amount_range_low"", ""public"".""Transactions"".""amount_range_high"", ""public"".""Transactions"".""raw_llm_csv_line"", ""public"".""Transactions"".""created_at"" FROM ""public"".""Transactions"" WHERE ""public"".""Transactions"".""filing_id"" IN ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15,$16,$17,$18,$19,$20,$21,$22,$23,$24,$25,$26,$27,$28,$29,$30,$31,$32,$33,$34,$35,$36,$37,$38,$39,$40,$41,$42,$43,$44,$45,$46,$47,$48,$49,$50,$51,$52,$53,$54,$55,$56,$57,$58,$59,$60,$61,$62,$63,$64,$65,$66,$67,$68,$69,$70,$71,$72,$73,$74,$75,$76,$77,$78,$79,$80,$81,$82,$83,$84,$85,$86,$87,$88,$89,$90,$91,$92,$93,$94,$95,$96,$97,$98,$99,$100,$101,$102,$103,$104,$105,$106,$107,$108,$109,$110,$111,$112,$113,$114,$115,$116,$117,$118,$119,$120,$121,$122,$123,$124,$125,$126,$127,$128,$129,$130,$131,$132,$133,$134,$135,$136,$137,$138,$139,$140,$141,$142,$143,$144,$145,$146,$147,$148,$149,$150,$151,$152,$153,$154,$155,$156,$157,$158,$159,$160,$161,$162,$163,$164,$165,$166,$167,$168,$169,$170,$171,$172,$173,$174,$175,$176,$177,$178,$179,$180,$181,$182,$183,$184,$185,$186,$187,$188,$189,$190,$191,$192,$193,$194,$195,$196,$197,$198,$199,$200,$201,$202,$203,$204,$205,$206) OFFSET $207",1,23.828277,23.828277,23.828277,23.828277,1101
postgres,"select (select count(*) from public.""API_Requests""), $1 as is_estimate",1,23.534653,23.534653,23.534653,23.534653,1
postgres,"SELECT 
        a.asset_id,
        a.ticker,
        a.company_name,
        COUNT(t.transaction_id) as trade_count,
        COALESCE(SUM((t.amount_range_low + t.amount_range_high) / $6), $7) as total_volume
      FROM ""Assets"" a
      LEFT JOIN ""Transactions"" t ON a.asset_id = t.asset_id
      WHERE (a.ticker ILIKE $8 || $1 || $9 OR a.company_name ILIKE $10 || $2 || $11)
      GROUP BY a.asset_id, a.ticker, a.company_name
      HAVING COUNT(t.transaction_id) > $12
      ORDER BY 
        CASE 
          WHEN a.ticker LIKE $3 || $13 THEN $14
          WHEN a.company_name LIKE $4 || $15 THEN $16
          ELSE $17
        END,
        trade_count DESC
      LIMIT $5",8,149.219109,14.479712,31.224652,18.652388625,3
postgres,"SELECT 
        a.asset_id,
        a.company_name,
        a.ticker,
        COALESCE(SUM((t.amount_range_low + t.amount_range_high) / $6), $7) as total_volume,
        COUNT(t.transaction_id) as trade_count,
        COUNT(DISTINCT f.member_id) as politician_count,
        MAX(t.transaction_date) as last_traded
      FROM ""Assets"" a
      LEFT JOIN ""Transactions"" t ON a.asset_id = t.asset_id
      LEFT JOIN ""Filings"" f ON t.filing_id = f.filing_id
      WHERE (a.ticker ILIKE $8 || $1 || $9 OR a.company_name ILIKE $10 || $2 || $11)
      GROUP BY a.asset_id, a.company_name, a.ticker
      HAVING COUNT(t.transaction_id) > $12
      ORDER BY 
        CASE 
          WHEN a.ticker LIKE $3 || $13 THEN $14
          WHEN a.company_name LIKE $4 || $15 THEN $16
          ELSE $17
        END,
        total_volume DESC
      LIMIT $5",9,160.579276,14.162629,38.778066,17.8421417777778,10
supabase_admin,"SELECT t.oid, t.typname, t.typsend, t.typreceive, t.typoutput, t.typinput,
       coalesce(d.typelem, t.typelem), coalesce(r.rngsubtype, $1), ARRAY (
  SELECT a.atttypid
  FROM pg_attribute AS a
  WHERE a.attrelid = t.typrelid AND a.attnum > $2 AND NOT a.attisdropped
  ORDER BY a.attnum
)

FROM pg_type AS t
LEFT JOIN pg_type AS d ON t.typbasetype = d.oid
LEFT JOIN pg_range AS r ON r.rngtypid = t.oid OR r.rngmultitypid = t.oid OR (t.typbasetype <> $3 AND r.rngtypid = t.typbasetype)
WHERE (t.typrelid = $4)
AND (t.typelem = $5 OR NOT EXISTS (SELECT $6 FROM pg_catalog.pg_type s WHERE s.typrelid != $7 AND s.oid = t.typelem))",2,28.80518,7.328477,21.476703,14.40259,209
postgres,"SELECT COALESCE(SUM((amount_range_low + amount_range_high) / $1), $2) as total_volume
        FROM ""Transactions""",86,973.948139,6.348113,149.216107,11.3249783604651,1
postgres,"SELECT ""public"".""Transactions"".""transaction_id"", ""public"".""Transactions"".""filing_id"", ""public"".""Transactions"".""asset_id"", ""public"".""Transactions"".""owner_code"", ""public"".""Transactions"".""transaction_type"", ""public"".""Transactions"".""transaction_date"", ""public"".""Transactions"".""amount_range_low"", ""public"".""Transactions"".""amount_range_high"", ""public"".""Transactions"".""raw_llm_csv_line"", ""public"".""Transactions"".""created_at"" FROM ""public"".""Transactions"" WHERE ""public"".""Transactions"".""filing_id"" IN ($1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13,$14,$15,$16,$17,$18,$19,$20,$21,$22,$23,$24,$25,$26,$27,$28,$29,$30,$31,$32,$33,$34,$35,$36,$37,$38,$39,$40,$41,$42,$43,$44,$45,$46,$47,$48,$49,$50,$51,$52,$53,$54,$55,$56,$57,$58,$59,$60,$61,$62,$63,$64,$65,$66,$67,$68,$69,$70,$71,$72,$73,$74,$75,$76,$77,$78,$79) OFFSET $80",2,21.318969,1.300004,20.018965,10.6594845,857
postgres,"SELECT COALESCE(SUM((amount_range_low + amount_range_high) / $1), $2) as total_volume
        FROM ""Transactions""",16,117.627441,6.51187,9.133483,7.3517150625,1
postgres,"SELECT COUNT(*) AS ""_count._all"" FROM (SELECT ""public"".""Transactions"".""transaction_id"" FROM ""public"".""Transactions"" WHERE $2=$3 OFFSET $1) AS ""sub""",102,746.428845,4.403441,56.381182,7.31792985294118,1
